EDUCATIONAL ATTAINMENT__Population 25 years and over,"EDUCATIONAL ATTAINMENT__Some college, no degree",EMPLOYMENT STATUS__Females 16 years and over,EMPLOYMENT STATUS__Own children 6 to 17 years,EMPLOYMENT STATUS__Population 16 years and over,"GROSS RENT__$1,500 or more",GROSS RENT__$200 to $299,GROSS RENT__Median (dollars),"HOUSE HEATING FUEL__Bottled, tank, or LP gas",HOUSE HEATING FUEL__Utility gas,HOUSEHOLDS BY TYPE__Average family size,HOUSEHOLDS BY TYPE__Family households (families),HOUSEHOLDS BY TYPE__Households with one or more people 65 years and over,HOUSEHOLDS BY TYPE__Total households,HOUSING TENURE__Owner-occupied,"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__$75,000 to $99,999",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Mean household income (dollars),"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median family income (dollars),INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)__Median household income (dollars),"INDUSTRY__Finance and insurance, and real estate and rental and leasing",MORTGAGE STATUS__Housing units with a mortgage,MORTGAGE STATUS__Housing units without a mortgage,OCCUPANTS PER ROOM__1.00 or less,"OCCUPATION__Management, business, science, and arts occupations",OCCUPATION__Sales and office occupations,PLACE OF BIRTH__Native,RACE__One race__White,ROOMS__3 rooms,ROOMS__5 rooms,ROOMS__6 rooms,ROOMS__7 rooms,ROOMS__8 rooms,ROOMS__Median rooms,"SELECTED MONTHLY OWNER COSTS (SMOC)__$2,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)__$400 or more,SEX AND AGE__25 to 34 years,SEX AND AGE__45 to 54 years,SEX AND AGE__55 to 59 years,SEX AND AGE__Female,SEX AND AGE__Male,SEX AND AGE__Median age (years),"UNITS IN STRUCTURE__1-unit, detached",UNITS IN STRUCTURE__3 or 4 units,"VALUE__$1,000,000 or more","VALUE__$300,000 to $499,999",VEHICLES AVAILABLE__3 or more vehicles available,YEAR STRUCTURE BUILT__Built 1939 or earlier,YEAR STRUCTURE BUILT__Built 1950 to 1959,YEAR STRUCTURE BUILT__Built 2000 to 2004,YEAR STRUCTURE BUILT__Built 2005 or later,TOTAL KWH
3341,545,2065,480,3787,0,0,893.0,32,1782,2.99,1282,763,1857,1662,355,74571.0,57788.0,72031.0,67188.0,158,1114,548,1819,777,454,3127,3844,130,361,682,162,205,5.9,513,469,435,778,331,2365,2121,45.4,1563,31,0,993,234,131,753,11,17,13453573.0
3536,609,2074,872,4107,18,0,1107.0,13,1875,3.14,1487,587,1943,1770,315,110147.0,69167.0,80121.0,75642.0,382,1149,621,1909,1290,694,4041,4702,43,273,384,403,357,6.7,731,584,372,985,229,2644,2610,42.9,1707,0,0,897,489,200,718,135,28,394066.0
3536,609,2074,872,4107,18,0,1107.0,13,1875,3.14,1487,587,1943,1770,315,110147.0,69167.0,80121.0,75642.0,382,1149,621,1909,1290,694,4041,4702,43,273,384,403,357,6.7,731,584,372,985,229,2644,2610,42.9,1707,0,0,897,489,200,718,135,28,394066.0
2610,520,1347,144,2962,114,0,989.0,14,1604,2.56,633,129,1949,528,406,61840.0,48859.0,66715.0,54732.0,249,485,43,1949,726,510,1789,2471,884,207,174,20,0,3.5,141,32,1052,377,311,1464,1802,34.0,0,16,0,57,67,27,198,193,0,3373235.0
1988,409,1183,204,2191,0,0,1045.0,0,1019,2.66,705,458,1073,913,197,61397.0,60132.0,68990.0,52083.0,60,481,432,1064,367,237,1558,2133,151,317,352,71,0,5.2,285,395,212,413,244,1282,1097,52.5,680,33,0,413,44,0,194,15,0,6528738.0
4642,779,2238,396,5145,0,0,931.0,60,2333,3.01,1573,558,2745,1401,250,55470.0,40414.0,50829.0,47593.0,254,966,435,2638,628,581,2720,5346,520,509,403,145,33,4.2,132,362,1624,694,396,2783,3420,33.7,147,214,0,33,241,14,473,75,5,7566872.0
2864,436,1746,240,3199,34,11,842.0,17,1299,2.98,895,824,1696,1145,221,52101.0,41842.0,65170.0,42361.0,67,559,586,1667,450,403,2280,3348,319,444,260,149,104,5.0,240,513,739,429,131,1927,1610,48.6,832,19,52,429,151,39,244,91,17,72950.0
508,88,436,202,674,0,49,709.0,23,286,3.29,252,91,369,33,0,30848.0,35481.0,15625.0,18363.0,11,33,0,350,83,49,910,0,143,24,54,6,11,3.9,16,0,79,94,17,510,441,27.0,16,16,0,33,0,46,4,27,105,788989.0
1642,385,942,506,1815,0,147,578.0,18,1028,3.61,445,209,1310,207,34,46811.0,39297.0,31821.0,20851.0,33,199,8,1217,354,311,2532,53,394,147,180,46,24,3.5,87,8,455,361,173,1382,1279,30.3,96,190,0,31,91,445,260,17,0,41072.0
2135,389,1404,543,2328,127,152,582.0,17,1359,2.94,851,289,1495,449,63,54253.0,61157.0,37443.0,24243.0,202,414,35,1487,521,307,3084,91,353,301,225,40,80,4.3,347,20,579,362,187,1897,1326,33.8,307,154,25,165,68,279,108,463,350,3533829.0
2135,389,1404,543,2328,127,152,582.0,17,1359,2.94,851,289,1495,449,63,54253.0,61157.0,37443.0,24243.0,202,414,35,1487,521,307,3084,91,353,301,225,40,80,4.3,347,20,579,362,187,1897,1326,33.8,307,154,25,165,68,279,108,463,350,3533829.0
884,321,767,278,1084,0,43,831.0,10,474,3.81,372,71,581,67,0,30948.0,56250.0,32907.0,17993.0,75,61,6,522,182,217,1653,106,182,192,0,32,0,4.1,8,6,321,198,68,1066,595,25.9,67,8,0,8,50,49,18,155,97,1137831.0
884,321,767,278,1084,0,43,831.0,10,474,3.81,372,71,581,67,0,30948.0,56250.0,32907.0,17993.0,75,61,6,522,182,217,1653,106,182,192,0,32,0,4.1,8,6,321,198,68,1066,595,25.9,67,8,0,8,50,49,18,155,97,1137831.0
5211,860,3330,1071,6358,84,31,845.0,23,2937,3.06,2120,597,3034,1147,357,61759.0,47061.0,58393.0,46425.0,249,850,297,2894,1256,1064,6039,4894,319,450,947,312,101,5.1,505,286,1199,907,375,4041,3808,35.9,894,579,0,663,242,2529,174,106,155,18532221.0
4284,842,2510,675,4863,13,0,1009.0,26,2675,2.96,1447,488,2761,1536,247,62541.0,45039.0,59813.0,51215.0,201,992,544,2723,1041,680,4591,4917,310,770,777,274,154,5.2,630,430,934,1172,499,3096,2906,38.6,922,445,14,632,268,1462,511,93,21,18027894.0
3323,621,2195,507,3872,17,0,944.0,30,1778,3.16,1189,614,1808,1246,343,65201.0,40442.0,66637.0,54375.0,270,653,593,1766,843,633,3193,3590,65,567,371,157,114,5.2,225,507,413,760,407,2492,2039,44.5,900,325,0,495,274,1197,189,0,18,12271113.0
2531,425,1490,721,2964,11,0,941.0,12,1261,3.26,1012,358,1320,776,208,59532.0,45990.0,59688.0,46563.0,94,444,332,1253,430,486,2552,2731,115,390,188,143,149,5.3,279,296,551,641,83,1850,1865,35.8,712,294,0,457,117,910,196,0,0,9515442.0
2682,631,2114,735,3490,18,0,1114.0,36,1298,3.56,1018,401,1334,997,243,74067.0,46875.0,68558.0,69573.0,314,712,285,1309,608,582,2923,3417,83,467,300,61,187,5.4,443,253,627,638,222,2563,1694,33.3,776,278,0,637,345,383,244,0,0,14827963.0
2682,631,2114,735,3490,18,0,1114.0,36,1298,3.56,1018,401,1334,997,243,74067.0,46875.0,68558.0,69573.0,314,712,285,1309,608,582,2923,3417,83,467,300,61,187,5.4,443,253,627,638,222,2563,1694,33.3,776,278,0,637,345,383,244,0,0,14827963.0
3193,597,1922,1136,3547,12,40,981.0,0,1574,3.86,1096,303,1574,988,231,60257.0,40143.0,55417.0,48704.0,119,731,257,1416,590,573,3545,2846,52,406,318,174,134,5.4,356,187,826,542,388,2678,2319,34.2,775,253,0,489,299,946,351,0,12,9253918.0
2497,357,1402,514,2926,9,0,810.0,0,1276,3.45,877,326,1294,935,242,78474.0,44161.0,83533.0,59656.0,125,623,312,1249,602,517,2456,2403,112,370,225,223,155,5.5,342,238,500,527,217,1558,1977,38.4,1036,199,5,512,234,965,128,46,0,9854370.0
2906,642,1736,892,3253,0,0,845.0,0,1384,3.48,1122,313,1417,1062,240,65957.0,39545.0,64151.0,58194.0,155,790,272,1406,692,554,2952,2801,74,371,426,142,123,5.6,442,188,700,627,231,2077,2243,35.6,858,187,10,505,219,1009,202,0,0,10469083.0
3544,616,2167,1048,4146,20,0,864.0,11,1674,3.45,1276,405,1820,1006,274,63206.0,39538.0,61979.0,57031.0,136,731,275,1756,619,743,3771,2672,147,509,385,146,156,5.4,385,210,849,781,327,2877,2422,35.3,721,514,0,679,267,1303,162,0,23,10452267.0
1762,221,1130,769,2226,0,0,996.0,19,904,4.12,666,176,957,572,148,53410.0,27109.0,43616.0,40222.0,137,440,132,903,269,359,2250,854,32,329,245,69,78,5.4,305,89,513,374,137,1726,1436,28.3,322,25,0,242,178,467,140,0,0,4712628.0
3342,490,2201,639,4088,7,28,783.0,0,1665,3.62,1050,275,1709,641,236,54170.0,32229.0,49071.0,47625.0,220,501,140,1625,461,543,2969,2379,107,567,215,81,31,4.8,293,111,1108,687,297,2655,2346,32.2,552,269,12,325,237,1290,60,0,0,8206690.0
3207,541,1825,925,3593,10,0,846.0,0,1604,3.61,1127,397,1636,716,232,53747.0,33427.0,50074.0,38313.0,98,411,305,1467,461,447,2646,2729,242,545,355,175,72,5.0,238,263,707,581,380,2375,2375,36.0,523,377,10,396,113,1021,305,0,0,10164603.0
2653,284,1548,529,3098,0,0,832.0,9,1227,3.38,935,370,1245,886,257,69478.0,42140.0,61893.0,58811.0,46,573,313,1191,382,380,1856,2764,37,303,288,152,76,5.4,249,263,562,413,329,1859,1790,40.9,917,159,0,437,245,543,359,0,0,9266046.0
1730,295,955,303,2033,0,0,977.0,18,745,3.85,594,112,763,444,98,85483.0,34143.0,64730.0,65972.0,161,330,114,711,422,342,1639,1404,71,188,156,95,113,5.5,210,62,575,381,134,1120,1457,33.4,428,118,0,139,188,474,74,26,52,4728265.0
1730,295,955,303,2033,0,0,977.0,18,745,3.85,594,112,763,444,98,85483.0,34143.0,64730.0,65972.0,161,330,114,711,422,342,1639,1404,71,188,156,95,113,5.5,210,62,575,381,134,1120,1457,33.4,428,118,0,139,188,474,74,26,52,4728265.0
1730,295,955,303,2033,0,0,977.0,18,745,3.85,594,112,763,444,98,85483.0,34143.0,64730.0,65972.0,161,330,114,711,422,342,1639,1404,71,188,156,95,113,5.5,210,62,575,381,134,1120,1457,33.4,428,118,0,139,188,474,74,26,52,4728265.0
2703,1049,1984,640,3122,0,0,777.0,9,1480,3.08,1078,607,1562,748,234,47646.0,41526.0,52292.0,41901.0,155,496,252,1562,353,677,3841,24,77,547,649,227,12,5.6,59,109,469,529,206,2254,1601,41.4,901,0,0,0,119,220,444,0,0,14392155.0
1010,308,790,493,1313,26,0,1009.0,0,536,3.94,426,191,703,358,65,32943.0,27016.0,22857.0,22750.0,0,253,105,660,122,95,1978,79,46,288,202,40,0,4.9,32,49,186,281,84,1110,914,25.0,186,145,0,14,28,496,71,0,0,14265660.0
1336,210,794,244,1469,0,0,749.0,0,810,2.86,453,136,892,436,56,49391.0,46806.0,44375.0,43000.0,39,319,117,892,369,161,1578,815,146,242,193,35,70,4.9,37,50,332,318,131,949,895,38.6,117,310,0,48,83,754,77,0,0,3354622.0
1128,293,1041,852,1530,0,230,306.0,85,787,3.31,664,158,945,107,27,23424.0,30688.0,16064.0,13277.0,27,74,33,917,131,228,2470,77,168,591,201,26,39,4.4,12,5,282,125,41,1646,888,23.0,192,261,0,0,79,267,79,0,105,4380696.0
1506,439,1407,1007,1965,58,176,463.0,0,1042,3.72,812,214,1094,214,30,23756.0,27436.0,19310.0,14186.0,70,78,136,1018,66,251,3354,20,87,340,257,150,51,4.9,0,59,425,275,74,2071,1283,21.6,406,62,0,0,0,147,173,0,15,4139133.0
3175,626,2303,883,3844,93,77,729.0,44,1556,3.67,1051,246,2149,439,307,51153.0,46276.0,53731.0,36905.0,86,367,72,1945,1057,466,4213,1700,603,614,274,66,35,4.1,172,36,944,709,181,3146,2157,30.3,65,314,0,136,9,1721,220,78,32,7263593.0
3669,637,2366,865,4483,48,0,855.0,56,2030,3.75,1150,305,2475,931,261,52591.0,40883.0,44500.0,40681.0,320,767,164,2298,964,563,4211,1916,620,553,412,163,94,4.3,227,114,1121,604,382,3075,2849,30.8,206,499,0,235,122,1467,381,92,25,7924740.0
2125,593,1280,118,2521,0,0,832.0,5,868,2.8,663,131,1133,292,67,47699.0,46250.0,57511.0,35724.0,122,267,25,1050,372,272,2244,1347,132,185,158,40,76,4.1,100,25,423,512,187,1495,1486,39.6,128,153,0,83,76,630,55,224,27,5866724.0
4838,1236,2552,686,5331,29,0,859.0,0,2296,3.04,1314,434,2750,1059,250,57075.0,41559.0,52162.0,45224.0,188,867,192,2498,1320,637,4871,3723,768,624,287,76,73,4.0,398,180,1122,806,450,3088,3387,39.3,102,235,33,110,91,2107,399,0,0,7754361.0
2717,599,2264,197,4229,49,0,837.0,44,1759,2.94,680,271,1943,675,212,58457.0,41028.0,72805.0,44018.0,129,512,163,1832,1114,564,3584,3299,484,422,199,106,78,3.9,169,163,928,355,319,2471,2180,27.6,132,203,16,180,54,1366,241,13,0,50506410.0
2717,599,2264,197,4229,49,0,837.0,44,1759,2.94,680,271,1943,675,212,58457.0,41028.0,72805.0,44018.0,129,512,163,1832,1114,564,3584,3299,484,422,199,106,78,3.9,169,163,928,355,319,2471,2180,27.6,132,203,16,180,54,1366,241,13,0,50506410.0
2917,445,1826,401,3469,0,115,740.0,10,1837,2.76,817,290,2286,508,118,41715.0,41458.0,22328.0,33427.0,226,414,94,2223,1102,534,2757,1740,634,282,143,26,8,3.4,138,94,1111,504,170,2109,2029,32.0,5,97,0,43,18,1309,92,50,0,3971991.0
2047,578,1398,104,2985,52,29,759.0,12,1274,2.8,516,130,1671,349,109,53167.0,31037.0,37036.0,30330.0,108,293,56,1591,796,436,2740,1924,496,228,120,20,75,3.5,161,56,808,428,183,1606,1688,30.6,34,171,0,79,33,1121,235,12,0,3737582.0
1117,179,1035,35,1690,154,89,709.0,15,816,2.54,175,369,979,213,22,34458.0,37317.0,37036.0,18250.0,55,108,105,964,413,280,1390,1354,162,236,109,75,7,3.1,63,105,227,169,75,1088,690,38.1,23,98,0,36,59,609,121,0,46,1807858.0
4550,874,2801,718,5436,105,25,845.0,60,2309,3.36,1284,357,2751,953,198,59450.0,45568.0,60556.0,47610.0,253,800,153,2587,1652,920,4653,2990,480,345,448,184,86,4.1,414,153,1326,760,449,3212,3351,34.6,152,380,0,330,29,1908,356,0,164,6796860.0
2608,452,1538,582,2995,10,0,853.0,0,1348,3.25,835,145,1494,766,164,65714.0,31475.0,65699.0,55682.0,208,704,62,1385,1079,345,2700,2196,194,481,255,72,49,4.7,329,62,782,582,235,1825,1909,34.7,254,204,0,211,85,875,228,29,0,4067155.0
3680,437,1829,881,4212,27,11,830.0,25,1695,3.87,987,134,1936,470,270,55451.0,33646.0,42102.0,43304.0,287,429,41,1550,848,589,2972,2457,546,395,174,43,26,3.8,194,41,1524,794,81,2524,2990,30.7,145,228,0,94,145,1330,229,14,12,8338399.0
2069,402,969,179,2367,21,47,810.0,0,1205,3.55,429,340,1347,426,137,48889.0,27135.0,63177.0,34960.0,72,355,71,1326,498,206,1496,1590,144,264,218,36,11,4.2,271,53,715,376,111,1199,1577,34.8,201,138,0,156,73,851,58,60,71,225417.0
2957,475,1716,565,3661,81,0,824.0,0,1737,3.38,891,163,1832,623,126,54590.0,31579.0,45250.0,45333.0,174,554,69,1616,863,538,3049,2602,423,501,256,93,104,4.3,221,48,1387,547,99,2324,2327,29.8,207,444,9,110,71,1621,179,44,94,5612735.0
2957,475,1716,565,3661,81,0,824.0,0,1737,3.38,891,163,1832,623,126,54590.0,31579.0,45250.0,45333.0,174,554,69,1616,863,538,3049,2602,423,501,256,93,104,4.3,221,48,1387,547,99,2324,2327,29.8,207,444,9,110,71,1621,179,44,94,5612735.0
1604,338,1022,376,1762,0,0,892.0,22,874,3.05,514,280,948,678,83,57741.0,47007.0,52361.0,42436.0,116,418,260,944,313,377,2084,15,7,302,273,178,55,5.9,104,162,203,309,302,1198,981,45.3,610,35,0,73,158,310,146,0,0,6182420.0
828,290,576,144,980,23,20,842.0,0,442,3.33,317,132,488,328,77,54958.0,46205.0,63906.0,52000.0,0,249,79,465,123,66,1270,0,0,241,19,83,86,5.4,58,54,128,213,130,817,453,40.0,391,26,0,0,30,128,129,0,0,2460459.0
1348,396,1308,267,2157,37,0,777.0,0,742,3.42,459,323,753,608,40,55557.0,46395.0,52486.0,51387.0,100,356,252,753,308,499,2431,38,24,203,305,111,76,5.8,76,163,118,251,179,1473,1035,30.1,643,97,0,53,56,158,415,0,0,5221950.0
939,260,658,294,1083,30,0,1149.0,0,538,3.52,362,214,544,438,8,50446.0,43125.0,46887.0,45566.0,8,306,132,544,139,185,1441,10,73,146,104,121,34,6.0,15,77,142,149,119,855,633,37.6,496,109,6,0,8,132,118,7,0,4217862.0
2308,719,1444,564,2819,21,0,951.0,0,1028,3.63,875,496,1051,834,187,55470.0,42132.0,54417.0,52159.0,52,576,258,1038,305,330,3464,0,0,433,306,248,83,5.8,33,143,419,533,89,1763,1701,41.2,1051,21,0,9,140,462,225,0,0,7803050.0
2861,689,1924,323,3222,14,0,938.0,8,1388,3.14,983,675,1479,1182,164,48606.0,26000.0,41982.0,35382.0,121,781,401,1465,396,334,3725,71,82,484,420,322,134,5.8,79,272,486,631,218,2255,1508,47.2,1159,121,0,33,171,428,326,0,18,9694971.0
2322,628,1575,492,2836,95,27,772.0,15,1330,3.44,822,471,1490,519,54,41107.0,33333.0,31755.0,26667.0,98,427,92,1490,272,258,3558,0,201,620,301,91,31,5.0,12,54,461,335,126,1925,1674,37.6,515,287,0,0,119,630,281,35,121,9513979.0
3887,1271,2466,883,4371,49,43,843.0,30,1908,3.51,1356,770,2004,1207,232,56607.0,33545.0,50809.0,45088.0,196,815,392,1882,387,733,5583,11,115,599,434,260,211,5.5,130,221,617,790,379,3113,2470,40.1,1284,187,0,21,291,590,678,0,191,11255337.0
3047,908,2416,1259,4345,177,11,1122.0,0,1434,4.46,1208,533,1549,808,122,36296.0,41250.0,39297.0,30679.0,154,518,290,1445,238,318,5858,74,47,364,396,214,354,6.1,32,273,506,669,281,3239,2624,26.8,1408,26,0,0,57,1195,203,140,50,8447558.0
3505,1007,2205,877,3968,97,0,1253.0,0,1606,3.57,1199,687,1636,1316,186,64298.0,42926.0,54816.0,50269.0,215,842,474,1627,559,418,5155,52,0,450,487,215,182,6.1,146,232,435,803,114,2863,2335,42.9,1585,12,0,44,156,517,451,0,72,12459104.0
2018,635,1056,193,2210,68,0,1125.0,0,828,3.64,588,316,828,665,161,58735.0,45898.0,53537.0,52593.0,45,412,253,792,214,227,2606,13,10,264,270,119,89,5.9,49,207,379,551,207,1267,1357,44.7,725,28,0,0,106,310,339,45,0,7130207.0
1940,701,1355,610,2520,62,0,969.0,0,922,3.94,696,209,944,428,29,40471.0,31250.0,34669.0,32610.0,21,323,105,885,137,180,3103,9,22,404,158,156,86,5.6,83,91,314,534,200,1611,1501,37.7,532,264,0,11,89,766,56,0,0,6545769.0
1817,570,1523,612,2406,46,0,850.0,8,985,4.28,651,227,1110,269,116,43518.0,32196.0,47070.0,39583.0,145,175,94,1050,341,359,3415,10,108,399,295,153,11,5.1,54,63,316,364,181,1991,1432,27.7,259,300,0,33,51,907,85,0,0,4762924.0
2271,656,1504,734,2753,12,15,871.0,44,1192,3.43,863,342,1357,370,102,40354.0,34089.0,37063.0,31727.0,148,294,76,1302,327,450,3527,30,19,588,414,105,118,5.3,54,43,375,461,246,1840,1732,37.4,492,82,0,19,57,407,244,85,7,6377166.0
2271,656,1504,734,2753,12,15,871.0,44,1192,3.43,863,342,1357,370,102,40354.0,34089.0,37063.0,31727.0,148,294,76,1302,327,450,3527,30,19,588,414,105,118,5.3,54,43,375,461,246,1840,1732,37.4,492,82,0,19,57,407,244,85,7,6377166.0
2010,500,1224,642,2320,0,28,746.0,24,1326,3.29,716,210,1479,500,81,39979.0,29830.0,34459.0,29865.0,67,341,159,1432,120,505,2978,286,319,349,524,75,129,5.0,17,53,497,604,147,1771,1610,31.8,330,462,0,39,22,938,99,0,5,4703318.0
1280,221,888,740,1647,72,9,674.0,6,778,4.61,493,105,791,290,81,34986.0,41250.0,47813.0,30536.0,18,208,82,624,109,174,2095,1059,84,130,392,57,53,5.2,0,26,402,303,95,1415,1207,23.0,220,442,0,0,57,826,139,0,0,3072296.0
1881,403,1267,948,2450,0,35,806.0,34,1054,3.95,813,143,1088,410,100,38423.0,24752.0,35265.0,33934.0,52,329,81,967,239,228,2960,534,60,524,377,90,65,5.2,0,29,589,393,192,1780,1806,29.0,336,423,0,0,80,856,270,0,0,5718464.0
2572,583,1827,587,3163,40,32,877.0,0,1348,3.41,1053,363,1394,518,89,30298.0,27386.0,18852.0,17121.0,108,366,152,1325,80,408,4060,72,222,221,609,163,83,5.6,32,132,602,625,244,2358,1864,33.4,627,369,0,46,7,1113,91,0,0,5701014.0
2721,691,1840,594,3335,76,0,896.0,0,1429,3.3,971,484,1514,874,223,49859.0,44018.0,59036.0,39698.0,83,637,237,1478,512,437,3789,39,67,403,473,85,143,5.4,138,94,378,807,267,2192,1693,43.2,745,285,0,44,152,575,541,0,0,7921112.0
4281,1165,2732,920,4755,68,63,824.0,0,2201,3.19,1556,1093,2391,1466,296,58770.0,44265.0,64750.0,50671.0,125,1139,327,2360,786,557,5710,13,307,553,527,468,181,5.5,134,232,497,951,364,3134,2839,46.7,1479,275,0,45,254,1250,770,47,62,13387418.0
668,169,480,344,841,23,0,950.0,0,397,4.08,244,72,397,112,8,31898.0,32670.0,33261.0,20474.0,0,90,22,353,66,72,1149,21,0,31,235,32,16,5.7,8,8,217,89,94,785,473,26.9,76,161,0,4,30,303,53,11,0,1607658.0
1807,301,1113,1140,2207,0,53,591.0,16,995,4.01,853,134,1068,183,36,30243.0,30744.0,20662.0,24186.0,0,118,65,943,125,245,2743,998,44,377,365,51,0,4.8,8,32,473,233,105,1936,1911,22.3,91,432,0,26,90,794,80,0,0,3929834.0
1080,178,615,172,1210,9,96,374.0,46,578,3.18,283,409,712,163,28,28345.0,32197.0,31823.0,19625.0,0,52,111,712,84,16,1271,517,295,177,202,8,0,4.6,0,60,127,206,41,724,653,51.8,131,301,0,0,28,490,47,0,10,2103539.0
1290,154,846,393,1653,0,23,694.0,12,751,3.43,494,211,763,259,52,35835.0,27971.0,26691.0,27169.0,12,116,143,716,68,242,1491,836,63,266,410,64,69,5.3,0,58,257,296,139,1236,1049,31.4,159,500,0,0,41,846,39,0,0,4534181.0
1290,154,846,393,1653,0,23,694.0,12,751,3.43,494,211,763,259,52,35835.0,27971.0,26691.0,27169.0,12,116,143,716,68,242,1491,836,63,266,410,64,69,5.3,0,58,257,296,139,1236,1049,31.4,159,500,0,0,41,846,39,0,0,4534181.0
2139,273,1341,873,2763,0,0,814.0,30,1005,4.04,882,311,1085,866,33,46701.0,25000.0,40549.0,38771.0,62,480,386,957,259,212,2455,1955,90,399,270,120,46,5.2,15,179,426,435,178,1938,1926,29.8,750,79,0,11,100,511,324,15,0,6347522.0
2333,504,1652,686,2635,96,0,1363.0,11,1011,3.51,847,390,1085,767,96,50354.0,33807.0,47989.0,46516.0,106,498,269,1020,437,325,3145,505,42,520,415,25,46,5.3,0,177,435,484,286,1948,1388,39.4,837,0,0,0,163,120,363,0,0,7583400.0
3914,1430,2685,1025,4623,5,72,939.0,0,2081,3.6,1372,693,2171,1542,93,42393.0,47685.0,42484.0,40010.0,189,877,665,2103,498,844,5667,14,137,962,620,110,108,5.3,22,345,707,848,237,3485,2334,39.4,784,83,0,0,123,205,898,0,0,17994717.0
1717,394,1327,691,2387,11,18,612.0,0,937,3.65,777,281,994,464,155,41388.0,27288.0,36165.0,27119.0,38,279,185,934,167,293,2626,779,125,271,233,184,64,5.1,42,130,313,561,109,1880,1359,26.9,405,164,0,16,143,789,99,0,41,3983997.0
1717,394,1327,691,2387,11,18,612.0,0,937,3.65,777,281,994,464,155,41388.0,27288.0,36165.0,27119.0,38,279,185,934,167,293,2626,779,125,271,233,184,64,5.1,42,130,313,561,109,1880,1359,26.9,405,164,0,16,143,789,99,0,41,3983997.0
1717,394,1327,691,2387,11,18,612.0,0,937,3.65,777,281,994,464,155,41388.0,27288.0,36165.0,27119.0,38,279,185,934,167,293,2626,779,125,271,233,184,64,5.1,42,130,313,561,109,1880,1359,26.9,405,164,0,16,143,789,99,0,41,3983997.0
1571,119,927,494,2190,0,0,729.0,0,715,4.44,596,44,715,109,41,45231.0,22173.0,38854.0,44119.0,83,90,19,526,78,128,1317,1243,72,490,110,23,21,4.8,8,19,721,279,151,1343,1682,26.2,64,521,0,17,115,736,49,0,0,4016328.0
1841,227,1032,666,2371,0,0,747.0,0,796,4.28,738,132,796,297,97,53697.0,26758.0,37425.0,37239.0,70,173,124,659,223,208,2189,1648,28,298,226,136,39,5.2,35,100,589,217,131,1535,1939,25.9,216,253,0,0,105,645,72,0,0,4343122.0
2240,167,1302,611,2953,0,0,698.0,20,1051,4.19,874,139,1081,348,49,38565.0,21580.0,34924.0,31492.0,82,250,98,872,155,224,2104,2190,75,368,222,65,12,4.4,47,92,763,403,111,2040,2127,27.1,82,600,0,41,53,874,119,22,0,5480694.0
2355,215,1288,692,2886,0,0,740.0,0,1047,3.94,882,120,1065,351,59,38922.0,26614.0,28750.0,31801.0,82,263,88,919,42,315,1751,1771,111,332,196,16,0,4.3,17,30,957,311,188,1626,2308,30.1,146,528,0,38,91,913,119,0,0,5738354.0
1859,160,1223,700,2608,7,29,688.0,0,989,3.89,829,101,1010,323,81,32390.0,25551.0,22827.0,23567.0,39,145,178,857,179,235,1802,1815,166,299,168,35,20,4.2,99,122,546,336,185,1673,1997,25.2,55,603,0,163,41,1011,131,0,0,1936986.0
1214,104,708,641,1717,0,0,662.0,0,674,3.84,529,67,685,181,39,40007.0,23787.0,33963.0,32577.0,0,85,96,566,111,165,1153,1132,110,147,124,38,0,4.3,27,58,378,346,50,1196,1218,25.1,51,398,0,66,50,355,54,0,39,618831.0
2484,214,1437,646,3148,0,19,793.0,15,1119,4.0,946,186,1134,376,77,49873.0,25252.0,34796.0,36518.0,69,265,111,947,141,365,2037,2066,65,366,215,47,30,4.5,68,63,1001,536,114,1964,2359,28.2,186,602,0,81,60,552,194,0,37,2111058.0
2186,298,1375,992,2752,0,0,699.0,0,1168,4.05,965,135,1191,452,118,36241.0,25546.0,30849.0,28359.0,89,336,116,1086,89,455,2210,2205,29,474,96,36,55,4.4,78,72,722,538,114,2222,1981,25.6,271,372,13,121,66,1100,66,0,0,5799452.0
2265,171,1317,889,2862,0,0,687.0,0,920,4.83,810,80,937,435,135,50009.0,25320.0,42670.0,42485.0,138,349,86,713,106,182,2123,1983,28,197,131,0,20,4.3,69,58,853,430,156,2153,2170,25.6,310,302,0,42,146,738,118,0,0,6126519.0
2276,254,1242,817,2541,0,0,705.0,0,871,4.82,757,155,871,373,86,57730.0,20439.0,47383.0,41996.0,68,270,103,613,192,338,1816,1446,42,260,159,0,32,4.4,66,82,902,482,197,1891,1990,28.1,187,237,0,72,32,604,191,0,0,4889922.0
1949,216,1372,1223,2530,81,0,801.0,0,960,4.53,861,146,978,440,78,44762.0,27137.0,35078.0,35306.0,0,332,108,746,186,283,2308,1922,0,422,179,0,14,4.8,68,66,526,402,158,2200,1978,22.1,213,236,0,145,14,673,169,0,0,5862612.0
